campaign_name,source_section,total_payment_records,total_influencers,total_fee_amount,paid_amount,unpaid_amount,cancelled_amount
Smootto,Smooto (แคมเปญปกติ),77,76,196000.0,196000.0,0.0,0.0
Scholl เดือน 2,Scholl เดือน 2,38,38,43400.0,43400.0,0.0,0.0
Hom pruksa,Hom pruksa,26,26,33300.0,700.0,32600.0,0.0
Dr.Deaw,Dr.Deaw,12,12,30500.0,5000.0,25500.0,0.0
PawChoice,PawChoice รวมรอบ 1,25,25,28800.0,28800.0,0.0,0.0
Fourteenday,Fourteenday,19,19,27100.0,24600.0,2500.0,0.0
Cocoro รอบ 2,Cocoro รอบ 2,11,11,18200.0,0.0,18200.0,0.0
Larisa,Larisa,9,9,18000.0,18000.0,0.0,0.0
Cocoro รอบ 1,Cocoro รอบ 1,10,10,17200.0,17200.0,0.0,0.0
PawChoice,PawChoice รอบ 3 (สุดท้าย),10,10,16730.0,0.0,16730.0,0.0
PawChoice,PawChoice รอบ 2,9,9,16200.0,16200.0,0.0,0.0
แว่นแว่นแว่น,แว่นแว่นแว่น,9,8,16000.0,15000.0,1000.0,0.0
Gemi Gumi,Gemi Gumi,13,13,15100.0,15100.0,0.0,0.0
Stronglife,Stronglife,5,5,13400.0,0.0,13400.0,0.0
Smootto,Smooto (แคมเปญเสริม),7,7,10500.0,1500.0,9000.0,0.0
สบู่หอมปัง,สบู่หอมปัง,1,1,1000.0,0.0,1000.0,0.0
